,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.851,0.843,11,-3.634,0,0.0447,0.255,0.000667,0.163,0.964,96.034,audio_features,31EqF298ZkU9U7DdOds0Zx,spotify:track:31EqF298ZkU9U7DdOds0Zx,https://api.spotify.com/v1/tracks/31EqF298ZkU9U7DdOds0Zx,https://api.spotify.com/v1/audio-analysis/31EqF298ZkU9U7DdOds0Zx,197120,4
1,0.543,0.962,4,-5.337,0,0.106,0.0274,0.027,0.09,0.639,193.66,audio_features,7d4pdMym8ZBOgf1oVPTiPb,spotify:track:7d4pdMym8ZBOgf1oVPTiPb,https://api.spotify.com/v1/tracks/7d4pdMym8ZBOgf1oVPTiPb,https://api.spotify.com/v1/audio-analysis/7d4pdMym8ZBOgf1oVPTiPb,275893,4
2,0.595,0.749,7,-6.627,1,0.0702,0.0216,0.0,0.244,0.888,192.579,audio_features,3MPKkfraGF4YO4kis5PILy,spotify:track:3MPKkfraGF4YO4kis5PILy,https://api.spotify.com/v1/tracks/3MPKkfraGF4YO4kis5PILy,https://api.spotify.com/v1/audio-analysis/3MPKkfraGF4YO4kis5PILy,283333,4
3,0.682,0.629,4,-10.538,1,0.128,0.497,2.83e-05,0.426,0.696,78.749,audio_features,64H5Dy5OI1R6cpoRn4ZM5t,spotify:track:64H5Dy5OI1R6cpoRn4ZM5t,https://api.spotify.com/v1/tracks/64H5Dy5OI1R6cpoRn4ZM5t,https://api.spotify.com/v1/audio-analysis/64H5Dy5OI1R6cpoRn4ZM5t,155933,1
4,0.543,0.557,9,-8.672,0,0.0908,0.383,1.04e-05,0.0837,0.401,81.926,audio_features,42e4yW4Xu2e8LdHQK6CnwG,spotify:track:42e4yW4Xu2e8LdHQK6CnwG,https://api.spotify.com/v1/tracks/42e4yW4Xu2e8LdHQK6CnwG,https://api.spotify.com/v1/audio-analysis/42e4yW4Xu2e8LdHQK6CnwG,233800,4
5,0.683,0.829,9,-7.777,0,0.0629,0.185,3.27e-06,0.151,0.698,150.417,audio_features,7FxhDl2TtdtWa7P490QGTS,spotify:track:7FxhDl2TtdtWa7P490QGTS,https://api.spotify.com/v1/tracks/7FxhDl2TtdtWa7P490QGTS,https://api.spotify.com/v1/audio-analysis/7FxhDl2TtdtWa7P490QGTS,161160,3
6,0.55,0.565,9,-9.346,0,0.0976,0.752,0.0671,0.169,0.53,121.012,audio_features,47WqMrlBfGBKHQoZsZgZzN,spotify:track:47WqMrlBfGBKHQoZsZgZzN,https://api.spotify.com/v1/tracks/47WqMrlBfGBKHQoZsZgZzN,https://api.spotify.com/v1/audio-analysis/47WqMrlBfGBKHQoZsZgZzN,225599,4
7,0.739,0.867,6,-2.547,0,0.1,0.538,0.0,0.283,0.927,91.074,audio_features,0aj6FKx25PL3hbhoUQzHNL,spotify:track:0aj6FKx25PL3hbhoUQzHNL,https://api.spotify.com/v1/tracks/0aj6FKx25PL3hbhoUQzHNL,https://api.spotify.com/v1/audio-analysis/0aj6FKx25PL3hbhoUQzHNL,159480,4
8,0.867,0.444,10,-7.414,0,0.189,0.827,0.813,0.0462,0.967,134.873,audio_features,6bMdAHzPO0ZtXsbTximfpc,spotify:track:6bMdAHzPO0ZtXsbTximfpc,https://api.spotify.com/v1/tracks/6bMdAHzPO0ZtXsbTximfpc,https://api.spotify.com/v1/audio-analysis/6bMdAHzPO0ZtXsbTximfpc,147173,4
9,0.781,0.287,9,-12.447,0,0.0893,0.901,0.881,0.274,0.76,121.622,audio_features,6B11DcP8lV8vq720QEfC9B,spotify:track:6B11DcP8lV8vq720QEfC9B,https://api.spotify.com/v1/tracks/6B11DcP8lV8vq720QEfC9B,https://api.spotify.com/v1/audio-analysis/6B11DcP8lV8vq720QEfC9B,166773,4
