,song_id,song_name,artist,album,realese_date,popularity
0,31EqF298ZkU9U7DdOds0Zx,Matador,Onda Sabanera,Lluvia de Exitos/Cumbia Hasta las Manos,2007-11-10,42
1,7d4pdMym8ZBOgf1oVPTiPb,Matador - Remasterizado 2008,Los Fabulosos Cadillacs,Vasos Vacíos,1993-06-18,69
2,3MPKkfraGF4YO4kis5PILy,El Campanero,Onda Sabanera,Lluvia de Exitos/Cumbia Hasta las Manos,2007-11-10,47
3,64H5Dy5OI1R6cpoRn4ZM5t,Chacarera Del Sufrido,Raly Barrionuevo,El Sueño De Los Viajeros,2015-08-14,44
4,42e4yW4Xu2e8LdHQK6CnwG,Cacique Yatel,Rubén Patagonia,La Historia - 2da Parte,2006-01-01,23
5,7FxhDl2TtdtWa7P490QGTS,Chacarera Del Rancho,Los Nocheros,Signos,1998-01-01,49
6,47WqMrlBfGBKHQoZsZgZzN,Chacarera del Violín,Néstor Garnica,La Fiesta Del Violinero,2004-04-28,43
7,0aj6FKx25PL3hbhoUQzHNL,El Humahuaqueño / Carnavalito Quebradeño,Los Nocheros,Noche Amiga Mía,2004-01-01,31
8,6bMdAHzPO0ZtXsbTximfpc,El Choclo,Juan D'Arienzo,Serie De Oro: Juan D'Arienzo,2003-01-01,26
9,6B11DcP8lV8vq720QEfC9B,La Yumba - Instrumental,Osvaldo Pugliese,Ausencia,1995-01-01,34
10,2joB3G4b527szRVC6L5VYL,La cumparsita,Juan D'Arienzo,Orquesta Juan D' Arienzo - La cumparsita,1988-06-12,47
11,0yPZHbdIEaotNZk99L0UIA,Desde el alma,Juan D'Arienzo,Orquesta Juan D' Arienzo - La cumparsita,1988-06-12,32
12,6E3WENlXuQq28atvoA2GGV,El Tempano,Juan Carlos Baglietto,Baglietto,1983-01-01,46
13,5abGX6hxDsNQZayzLKQKbG,Campo Afuera,Los Tucu Tucu,20 Temas Exitos,2006-02-01,18
14,6q6FPPStXQzQN3BEYbbmqm,La Oma,Los Cuatro De Cordoba,La Historia,2002-01-01,40
15,7pu69nMDNOCxWrItckvpvU,Convide Rutero,Almafuerte,A Fondo Blanco,1999-12-25,39
16,6z6aUQtuqZzq2tbyVwHO6n,Amores Como el Nuestro,Los Charros,corazon de papel,2011-10-31,63
17,4ObkiTmpsSU31gqGhTb8SH,Balada Del Diablo y La Muerte,La Renga,Despedazado Por Mil Partes,1996-01-01,63
18,7FZeb3WUrCInAITFu9ZLJ8,"Por una Cabeza (From ""Parfum de femme"")",Gerardo Matos Rodriguez,"A Time for Us (Silence, on joue!)",2012-01-31,45
19,0FEY980G19GmeiVBK2AYzA,Juan de la Calle,Chaqueño Palavecino,Juan de la Calle,2004,51
20,76ibxRco0AGhgavIY4zSRh,Wadu Wadu,Virus,Wadu Wadu,1981-04-29,46
21,6R2Gc5UhPYeCDn1tICzw6W,El Probador - Live,Virus,Obras Cumbres,2000,32
22,1dwaWqYsVcNeNYRaV8VdSm,Viva Jujuy,Los Tekis,Mixtura,2010-09-09,41
23,3QHMxEOAGD51PDlbFPHLyJ,Vivir Mi Vida,Marc Anthony,3.0,2013-07-23,76
24,3vCeDhrInX8te6SoaqZbvu,La Dueña del Swing,Los Hermanos Rosario,Latino! Greatest Hits - 56 Latin Top Hits (Original Versions!),2009-12-01,0
25,2rHhKu1hW8uqyr7LSrRn8E,Bandido,Azucar Moreno,Bandido,1990,44
26,7ueEszUgL2WSfqZC31AAiv,Destino de Caminar,Victor Heredia,Entonces,2001-08-30,4
27,7uHO4AmKtyGa5v5fsElGoC,You Spin Me Round (Like a Record),Dead Or Alive,Youthquake,1985-03-26,74
28,41Aoeuvumi2qtF6XEUwzQZ,Aquellos Soldaditos De Plomo,Victor Heredia,De Amor y De Sangre,1995-01-01,0
29,2HHyqgKE4f1BOhJmMfkVF4,Balada - Ao Vivo,Gusttavo Lima,Gusttavo Lima e Você (Ao Vivo),2011-09-20,1
30,51TuEPzSk7uwurgVJWxuh0,Tacatá,The Harmony Group,Fiesta de Verano Hits 2012,2012-06-05,2
31,51gKgOdLRIjIKdf9xSUw3l,Ella No Sigue Modas,The Harmony Group,Fiesta de Verano Hits 2012,2012-06-05,27
32,7DIcFpIgNmzVCL6VCJb01D,Four to the Floor - Thin White Duke Mix,Starsailor,Four To The Floor,2004,37
33,4L4YgYtU6sGzQBdEXm6EM9,Pump It Up - Radio Edit,Danzel,Pump It Up,2004-01-19,0
34,5KtjZBKCKYugGQb8INNXyo,Rosa María,Rumba 7,Lo Mejor en Tinkus (Tinkus Orquestados de Bolivia),2002,21
35,1inzE9vi5EfFlPaMD4FjjJ,Rosa Maria - Tangos,Camaron De La Isla,La leyenda,2004-01-01,0
36,0wODc6MEwLoMsTMwGpxy2F,Bamboleo,Gipsy Kings,Bem Bem Maria,2018-11-13,0
37,2jlXvSTSt0OPeBxjr78Q7k,Nada Tengo de Ti,Los Tucu Tucu,Eternamente Tucu,2008-08-11,42
38,5HIXwsSwowXq6zerUeqD7l,La Llorona,Angelica Vale,Coco (Banda Sonora Original en Español),2017-10-27,61
39,2SpEHTbUuebeLkgs9QB7Ue,Jolene,Dolly Parton,Jolene,1974-02-04,75
40,6XFTgDWeCXkkomVnn8Jrmp,Siento Enloquecer,Angel Mahler,Drácula el Musical,2018-06-01,14
41,5IeNn6wPIke56JVRQJjAxt,Soñar Hasta Enloquecer,Angel Mahler,Drácula el Musical,2018-06-01,20
42,5TLojom0hRkSTWPyJqGFXZ,"The Phantom Of The Opera - Live In Stephansdom, Vienna, Austria / 2008",Sarah Brightman,Symphony: Live In Vienna,2009,39
43,7ixLlCtgYEfGXzzur5mhty,I'd Be Surprisingly Good For You,Andrew Lloyd Webber,Andrew Lloyd Webber 60,2008-01-01,0
44,4PWOQUEfx2dzEJleMs8oDP,Confrontation,Jekyll Hyde,Jekyll & Hyde,2005-08-30,34
45,6Hwtd6XwSy5UGU0RgMhEhx,Alive - Reprise,Hyde,Jekyll & Hyde,2005-08-30,27
46,4G3RmLYNiekM8MF6PBd2Sd,Prologue: Work Song,Les Misérables - Original London Cast,Les Misérables (Original 1985 London Cast Recording),1985-12-31,34
47,3tTM43fOrEEt46y9qjuBBh,Do You Hear the People Sing?,Les Misérables - Original London Cast,Les Misérables (Original 1985 London Cast Recording),1985-12-31,39
48,2NcLlfT0DFJM4c8vjvbqy3,Red & Black,Les Misérables - Original London Cast,Les Misérables (Original 1985 London Cast Recording),1985-12-31,31
49,03m03OVQGPuzt8Rw2r0a7t,Do You Hear The People Sing?,Aaron Tveit,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),2013-01-01,57
50,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,Aftermath,1966-04-15,79
51,1jzDzZWeSDBg5fhNc3tczV,Paranoid,Black Sabbath,Paranoid (2009 Remastered Version),1970-09-18,78
52,4a0FKVo59iFgye3zjizWPf,Flight of Icarus - Live at Long Beach Arena; 1998 Remaster,Iron Maiden,Live After Death (1998 Remaster),1985,36
53,4P60VVMdkWcwGMBC7r4Kgp,Theme from Rawhide,The Blues Brothers,The Blues Brothers Original Motion Picture Soundtrack,1980,53
54,0DQsfrmX9FLnYbDg5dQCU0,New Orleans,The Blues Brothers,Blues Brothers 2000,1998-01-01,41
55,49fzPkBb3aOUWYRKaTWVhm,Hit the Road Jack,Ray Charles,Georgia On My Mind,2012-02-23,62
56,734y7nJZ0cPOACIoT9kWyV,The Lion From the North,Sabaton,Carolus Rex,2012-05-22,0
57,1AoBoAOHEE2n5iQ99ngKf6,The Ships Are Sailing/The Cup Of Tea,Alan McCartney & Paul Bradley & Jason O'Rourke & Brendan O'Hare & Ray Gallen,Traditional Irish Music From Belfast,2009-03-05,28
58,0ffz9KBdCb7oJkSK0W7bbf,Beelzeboss (The Final Showdown),Tenacious D,The Pick Of Destiny,2006-11-02,61
59,4h302bPIcNoJhlBuYwyYV7,It Must Be You,Dolly Parton,Jolene,1974-02-04,36
60,68qA74EO9cxzSWJwmOjmQR,"Let It Go - From ""Frozen: The Broadway Musical""",Caissie Levy,Frozen: The Broadway Musical (Original Broadway Cast Recording),2018-05-11,47
61,15wnpDEplNZHinPrAwFkzo,Circle Of Life,Ensemble - The Lion King,The Lion King: Original Broadway Cast Recording,1997,0
62,6b0AtCzgnYrb7T84o18V4l,I Won't Back Down,Johnny Cash,American III: Solitary Man,2000-01-01,54
63,1cCaFCpZ8FKdLalzLWrklQ,California Dreamin' - Single Version,The Mamas & The Papas,60's Gold,2006-01-01,0
64,4yrloqLBKS7Pi3z7g2HDga,Somebody to Love,Jefferson Airplane,Best Of,2007-05-05,0
65,2Iib2MV3ECFJAourgP9dlY,La Isla Bonita,Madonna,Celebration (double disc version),2009-09-18,67
66,0xs0ewnEb6c2DlY7LjOD7t,Girls Just Wanna Have Fun,Cyndi Lauper,80s 100 Hits,2010-02-26,56
67,3XC7Jd6SfrQYKZJ6inyRHK,House of the Rising Sun,The Animals,Most of the Animals,1992-02-24,67
68,3Fn6K2roSmzhKzp5BBJKJl,Dos Gardenias,Buena Vista Social Club,Buena Vista Social Club,1997-09-16,1
69,1iXYMhaexRwgbFnWNH0Ijo,Ahonikenk,Rubén Patagonia,Miremos Al Sur,1997-10-05,20
70,6b9iVRI9YfOozuOOSm3jSj,Cali Bonita,Pastor Lopez,"Antología Pastor López, Vol. 1",2017-09-01,35
71,1F4zbhudB8k1kO0oGnWODi,Money Money,Joel Grey,Cabaret,1972-01-01,0
72,0HtY7ILTZVSd4i44FuOrur,Jolene - Dumplin' Remix,Dolly Parton,Dumplin' Original Motion Picture Soundtrack,2018-11-30,51
73,5lIOhDGfy2lQJWWwxBm8L4,Quelqu'un m'a dit,Carla Bruni,Quelqu'un m'a dit,2002-11-05,62
74,0SpBUvk9AbBbeNDY91esXD,I Will Follow Him (From Sister Act),The Dream All Stars,Famous Musical Hits,2014-01-24,45
75,6S7YzdhqrDEbZNGvvJQOqJ,La Yapa,Los Nocheros,Signos,1998-01-01,44
76,0ORtLHewQnV5kADMT8iJiP,Chacarera del Changuito,Hebras,Hebras,2012-12-25,11
77,2OFNudaD0TiwN4PAjLudtm,Samba De Janeiro - Radio Edit,Bellini,Samba De Janeiro (The Original & The Original Remixes),2014-01-01,62
78,29icnqOmGvDWWMx87ZGsV4,Quién Se Ha Tomado Todo el Vino,La Banda Dominguera,La Banda Dominguera,2019-03-26,11
79,4H71d1kJ8DB8J4atO8fbBl,Yo soy aquél,Raphael,Canta...Raphael,1967-12-23,54
80,3xbymP6jIcdN0O2PB420bz,Escándalo,Raphael,Ave Fénix,1992,51
81,6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,VIDA,2019-02-01,80
82,6ztMOMCtWcKZgMTiNfP9bC,No Me Doy Por Vencido,Luis Fonsi,Palabras Del Silencio,2008-01-01,48
83,2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,Europop,2011-01-05,77
84,5EYdTPdJD74r9EVZBztqGG,The Bad Touch,Bloodhound Gang,Hooray For Boobies,1999-10-04,72
85,3850dYVgOFIXJh5U4BFEWH,Hung Up,Madonna,Confessions on a Dance Floor,2005-11-11,73
86,55whbebR4olz2HHcRQa2kx,Sorry,Madonna,Confessions on a Dance Floor,2005-11-11,60
87,0Q4L79GJnMRcUPhAvMeS22,Dragostea Din Tei,O-Zone,Big Brother Allstars - Die Sommerfete,2004-01-01,0
88,3trowLiYwwOoiwapLISNyk,No Te Creas Tan Importante - En Vivo,Damas Gratis,No Te Creas Tan Importante (En Vivo),2018-03-23,66
89,5EExhZiAXIqw6M5FFGAiUb,Turn the Beat Around,Gloria Estefan,"Hold Me, Thrill Me, Kiss Me",1994-10-14,46
90,7aHRctaQ7vjxVTVmY8OhAA,We Built This City,Starship,Knee Deep In The Hoopla,1985,3
91,2374M0fQpWi3dLnB54qaLX,Africa,TOTO,Toto IV,1982-04-08,85
92,1z3ugFmUKoCzGsI6jdY4Ci,Like a Prayer,Madonna,Celebration (double disc version),2009-09-18,72
93,5CmYHW6tHT8tPbLef7mjBP,Mirá Como Está La Vagancia,Damas Gratis,Sin Remedio,2005-01-01,55
94,3moLt93VQkbIWR12uxgaEm,Los Dueños de Pabellon,Damas Gratis,20 Grandes Exitos (Remasterizado 2015),2015-02-03,43
95,4sn7bhs2VnB6OVwWJDhLA7,Quiero Vitamina,Damas Gratis,20 Grandes Exitos (Remasterizado 2015),2015-02-03,32
96,1gbL6TqKuJOaUstIvMBMNc,Flashdance...What A Feeling,Irene Cara,Flashdance (Original Soundtrack From The Motion Picture),1983-04-11,0
97,0QKfiqpEU4h9ycPSzIFwYe,Maniac,Michael Sembello,Flashdance (Original Soundtrack From The Motion Picture),1983-04-11,76
98,43DJZnMU894sjYBDx6HHO8,Conmigo Te Gustó,Leo Mattioli,En Directo - Piel Con Piel,2001-08-03,57
99,6KzeUBu1BE8q24CblG6oku,Tramposa Y Mentirosa,Leo Mattioli,Un Homenaje Al Cielo,2000-05-08,61
100,4jDhI4nE32u8meRN1aOu8u,Maria,Blondie,Blondie 4(0)-Ever: Greatest Hits Deluxe Redux / Ghosts Of Download,2013-05-12,62
101,4qO03RMQm88DdpTJcxlglY,Call Me,Blondie,Atomic/Atomix,1999-01-01,70
102,5O5PY5HJNPxD7KyqU0SEhH,Mujer Amante,Rata Blanca,"XX aniversario en vivo - Magos, Espadas y Rosas",2011-06-24,65
103,46nYeZImWSsOebaCUrfEW1,La Leyenda del Hada y el Mago,Rata Blanca,"XX aniversario en vivo - Magos, Espadas y Rosas",2011-06-24,60
104,3YCcsuRdJArE4rsAG5V3sW,Nunca me Faltes,Antonio Rios,El Maestro,1996-04-04,59
105,6BoJ4NZ5NR8UBAYu0HFdVg,Gloria (Carnavalito-Yaravi),Ariel Ramírez,Misa Criolla (Edición aniversario / Remasterizado),1994-12-01,21
106,3vqyauyYbp9MqUwrCEmWJ0,Despacito,Ramon Ayala,Despacito,2017-07-19,49
